state,party,total_days,first_start,last_end,total_years,first_year_in_power,last_year_in_power
Sikkim,Sikkim Democratic Front,8930.0,1994-12-13,2019-05-27,24.449007529089666,1994,2019
Sikkim,Sikkim Janata Parishad,1667.0,1979-10-18,1984-05-11,4.563997262149213,1979,1984
Sikkim,Sikkim Krantikari Morcha,2532.0,2019-05-27,2026-05-02,6.93223819301848,2019,2026
Sikkim,Sikkim National Congress,1554.0,1975-05-16,1979-08-17,4.254620123203286,1975,1979
Sikkim,Sikkim Sangram Parishad,3564.0,1985-03-08,1994-12-12,9.757700205338809,1985,1994
Tamil Nadu,Independent,68847.0,1926-12-04,2026-05-02,188.49281314168377,1926,2026
Tamil Nadu,Indian National Congress,118701.0,1937-07-14,2026-05-02,324.98562628336754,1937,2026
Tamil Nadu,South Indian Liberal Federation,282362.0,1920-12-17,2026-05-02,773.0650239561944,1920,2026
Uttar Pradesh,Independent,32536.0,1937-04-03,2026-05-02,89.07871321013005,1937,2026
Uttar Pradesh,Indian National Congress,61682.0,1937-07-17,2026-05-02,168.87611225188226,1937,2026
Uttarakhand,Bharatiya Janata Party,45226.0,2000-11-09,2026-05-02,123.82203969883642,2000,2026
Uttarakhand,Indian National Congress,25769.0,2002-03-02,2026-05-02,70.55167693360711,2002,2026
West Bengal,Indian National Congress,57339.0,1947-08-15,2026-05-02,156.98562628336757,1947,2026
