state,name,party,term_raw,start_date,end_date
Haryana,Manohar Lal Khattar,Bharatiya Janata Party,26 October 2014,2014-10-26T00:00:00,NaT
Haryana,Manohar Lal Khattar,Bharatiya Janata Party,27 October 2019,2019-10-27T00:00:00,NaT
Haryana,Nayab Singh Saini,Bharatiya Janata Party,12 March 2024,2024-03-12T00:00:00,NaT
Haryana,Nayab Singh Saini,Bharatiya Janata Party,17 October 2024,2024-10-17T00:00:00,NaT
Himachal Pradesh,1,Indian National Congress,8 March 1952,1952-03-08T00:00:00,NaT
Himachal Pradesh,"Office abolished, 1956–63 (Himachal Pradesh became a Union Territory)","Office abolished, 1956–63 (Himachal Pradesh became a Union Territory)","Office abolished, 1956–63 (Himachal Pradesh became a Union Territory)",1956-05-02T00:00:00,2063-05-02T00:00:00
Jharkhand,Babulal Marandi (born 1958) MLA for Ramgarh,Bharatiya Janata Party,15 November 2000,2000-11-15T00:00:00,NaT
Jharkhand,Arjun Munda (born 1968) MLA for Kharsawan,Bharatiya Janata Party,18 March 2003,2003-03-18T00:00:00,NaT
Jharkhand,Shibu Soren (1944–2025) Non-elected,Jharkhand Mukti Morcha,2 March 2005,2005-03-02T00:00:00,NaT
Jharkhand,Arjun Munda (born 1968) MLA for Kharsawan,Bharatiya Janata Party,12 March 2005[§],2005-03-12T00:00:00,NaT
Jharkhand,Madhu Koda (born 1971) MLA for Jaganathpur,Independent,18 September 2006,2006-09-18T00:00:00,NaT
Jharkhand,Shibu Soren (1944–2025) Non-elected,Jharkhand Mukti Morcha,27 August 2008[§],2008-08-27T00:00:00,NaT
Jharkhand,Position vacant (19 January – 30 December 2009) President's rule was imposed during this period[a],Position vacant (19 January – 30 December 2009) President's rule was imposed during this period[a],Position vacant (19 January – 30 December 2009) President's rule was imposed during this period[a],2026-01-19T00:00:00,2026-12-30T00:00:00
Jharkhand,Shibu Soren (1944–2025) Non-elected,Jharkhand Mukti Morcha,30 December 2009[§],2009-12-30T00:00:00,NaT
Jharkhand,Position vacant (1 June – 11 September 2010) President's rule was imposed during this period[a],Position vacant (1 June – 11 September 2010) President's rule was imposed during this period[a],Position vacant (1 June – 11 September 2010) President's rule was imposed during this period[a],2026-06-01T00:00:00,2026-09-11T00:00:00
Jharkhand,Arjun Munda (born 1968) MLA for Kharsawan,Bharatiya Janata Party,11 September 2010[§],2010-09-11T00:00:00,NaT
Jharkhand,Position vacant (18 January – 13 July 2013) President's rule was imposed during this period[a],Position vacant (18 January – 13 July 2013) President's rule was imposed during this period[a],Position vacant (18 January – 13 July 2013) President's rule was imposed during this period[a],2026-01-18T00:00:00,2026-07-13T00:00:00
Jharkhand,Hemant Soren (born 1975) MLA for Dumka,Jharkhand Mukti Morcha,13 July 2013,2013-07-13T00:00:00,NaT
Jharkhand,Raghubar Das (born 1955) MLA for Jamshedpur East,Bharatiya Janata Party,28 December 2014,2014-12-28T00:00:00,NaT
Jharkhand,Hemant Soren (born 1975) MLA for Barhait,Jharkhand Mukti Morcha,29 December 2019[§],2019-12-29T00:00:00,NaT
Jharkhand,Champai Soren (born 1956) MLA for Seraikella,Jharkhand Mukti Morcha,2 February 2024,2024-02-02T00:00:00,NaT
Jharkhand,Hemant Soren (born 1975) MLA for Barhait,Jharkhand Mukti Morcha,4 July 2024[§],2024-07-04T00:00:00,NaT
Jharkhand,Hemant Soren (born 1975) MLA for Barhait,Jharkhand Mukti Morcha,4 July 2024[§],2024-07-04T00:00:00,NaT
Karnataka,K. Chengalaraya Reddy,Indian National Congress,25 October 1947,1947-10-25T00:00:00,NaT
Kerala,Pattom A. Thanu Pillai,Indian National Congress,24 March 1948,1948-03-24T00:00:00,NaT
Kerala,Paravoor T. K. Narayana Pillai,Indian National Congress,22 October 1948,1948-10-22T00:00:00,NaT
Madhya Pradesh,Awadhesh Pratap Singh,Indian National Congress,28 May 1948,1948-05-28T00:00:00,NaT
Madhya Pradesh,Neil Bruniat Bonerji,Independent,15 April 1949,1949-04-15T00:00:00,NaT
Madhya Pradesh,Shreenath Mehta,Independent,1 May 1949,1949-05-01T00:00:00,NaT
Maharashtra,Dhanjishah Cooper,Independent,1 April 1937,1937-04-01T00:00:00,NaT
Maharashtra,Balasaheb Gangadhar Kher,Indian National Congress,19 July 1937[13][14],1937-07-19T00:00:00,NaT
Maharashtra,Balasaheb Gangadhar Kher,Indian National Congress,30 March 1946,1946-03-30T00:00:00,NaT
Manipur,Mairembam Koireng Singh (1915–1994) MLA for Thanga,Indian National Congress,1 July 1963,1963-07-01T00:00:00,NaT
Manipur,Position vacant (12 January – 19 March 1967) President's rule was imposed during this period[a],Position vacant (12 January – 19 March 1967) President's rule was imposed during this period[a],Position vacant (12 January – 19 March 1967) President's rule was imposed during this period[a],2026-01-12T00:00:00,2026-03-19T00:00:00
Manipur,Mairembam Koireng Singh (1915–1994) MLA for Thanga,Indian National Congress,20 March 1967[§],1967-03-20T00:00:00,NaT
Manipur,Longjam Thambou Singh MLA for Keishamthong,Manipur United Front,4 October 1967,1967-10-04T00:00:00,NaT
Manipur,Position vacant (25 October 1967 – 18 February 1968) President's rule was imposed during this period[a],Position vacant (25 October 1967 – 18 February 1968) President's rule was imposed during this period[a],Position vacant (25 October 1967 – 18 February 1968) President's rule was imposed during this period[a],1967-10-25T00:00:00,2026-02-18T00:00:00
Manipur,Mairembam Koireng Singh (1915–1994) MLA for Thanga,Indian National Congress,19 February 1968[§],1968-02-19T00:00:00,NaT
Manipur,Position vacant (17 October 1969 – 20 January 1972) President's rule was imposed during this period[a],Position vacant (17 October 1969 – 20 January 1972) President's rule was imposed during this period[a],Position vacant (17 October 1969 – 20 January 1972) President's rule was imposed during this period[a],1969-10-17T00:00:00,2026-01-20T00:00:00
Mizoram,C. Chhunga (1915–1988) MLA for Kolasib,Mizo Union,3 May 1972,1972-05-03T00:00:00,NaT
Mizoram,Position vacant (11 May 1977 – 1 June 1978) President's rule was imposed during this period[a],Position vacant (11 May 1977 – 1 June 1978) President's rule was imposed during this period[a],Position vacant (11 May 1977 – 1 June 1978) President's rule was imposed during this period[a],1977-05-11T00:00:00,2026-06-01T00:00:00
Mizoram,Brigadier Ṭhenphunga Sailo AVSM (1922–2015) MLA for Aizawl North,Mizoram People's Conference,2 June 1978,1978-06-02T00:00:00,NaT
Mizoram,Position vacant (10 November 1978 – 8 May 1979) President's rule was imposed during this period[a],Position vacant (10 November 1978 – 8 May 1979) President's rule was imposed during this period[a],Position vacant (10 November 1978 – 8 May 1979) President's rule was imposed during this period[a],1978-11-10T00:00:00,2026-05-08T00:00:00
Mizoram,Brigadier Ṭhenphunga Sailo AVSM (1922–2015) MLA for Aizawl North,Mizoram People's Conference,8 May 1979[§],1979-05-08T00:00:00,NaT
Mizoram,Lal Thanhawla (born 1938) MLA for Serchhip,Indian National Congress,5 May 1984,1984-05-05T00:00:00,NaT
Mizoram,Laldenga (1927–1990) MLA for Aizawl North II,Mizo National Front,21 August 1986,1986-08-21T00:00:00,NaT
Nagaland,Position vacant (20 March 1975 – 25 November 1977) President's rule was imposed during this period[a],Position vacant (20 March 1975 – 25 November 1977) President's rule was imposed during this period[a],Position vacant (20 March 1975 – 25 November 1977) President's rule was imposed during this period[a],1975-03-20T00:00:00,2026-11-25T00:00:00
Nagaland,Position vacant (7 August 1988 – 25 January 1989) President's rule was imposed during this period[a],Position vacant (7 August 1988 – 25 January 1989) President's rule was imposed during this period[a],Position vacant (7 August 1988 – 25 January 1989) President's rule was imposed during this period[a],1988-08-07T00:00:00,2026-01-25T00:00:00
Nagaland,Position vacant (2 April 1992 – 22 February 1993) President's rule was imposed during this period[a],Position vacant (2 April 1992 – 22 February 1993) President's rule was imposed during this period[a],Position vacant (2 April 1992 – 22 February 1993) President's rule was imposed during this period[a],1992-04-02T00:00:00,2026-02-22T00:00:00
Nagaland,Position vacant (3 January – 12 March 2008) President's rule was imposed during this period[a],Position vacant (3 January – 12 March 2008) President's rule was imposed during this period[a],Position vacant (3 January – 12 March 2008) President's rule was imposed during this period[a],2026-01-03T00:00:00,2026-03-12T00:00:00
Odisha,Krushna Chandra Gajapati,Independent,1 April 1937,1937-04-01T00:00:00,NaT
Odisha,Bishwanath Das,Indian National Congress,19 July 1937,1937-07-19T00:00:00,NaT
Odisha,Krushna Chandra Gajapati,Independent,24 November 1941,1941-11-24T00:00:00,NaT
Odisha,Harekrushna Mahatab,Indian National Congress,23 April 1946,1946-04-23T00:00:00,NaT
Rajasthan,Shobha Ram Kumawat,Indian National Congress,18 March 1948,1948-03-18T00:00:00,NaT
Sikkim,Kazi Lhendup Dorjee,Sikkim National Congress,16 May 1975 – 17 August 1979,1975-05-16T00:00:00,1979-08-17T00:00:00
Sikkim,Kazi Lhendup Dorjee,Indian National Congress,16 May 1975 – 17 August 1979,1975-05-16T00:00:00,1979-08-17T00:00:00
Sikkim,Nar Bahadur Bhandari,Sikkim Janata Parishad,18 October 1979 – 11 May 1984,1979-10-18T00:00:00,1984-05-11T00:00:00
Sikkim,Bhim Bahadur Gurung,Indian National Congress,11 May 1984 – 25 May 1984,1984-05-11T00:00:00,1984-05-25T00:00:00
Sikkim,Nar Bahadur Bhandari,Sikkim Sangram Parishad,8 March 1985 – 25 November 1989,1985-03-08T00:00:00,1989-11-25T00:00:00
Sikkim,Nar Bahadur Bhandari,Sikkim Sangram Parishad,26 November 1989 – 17 May 1994,1989-11-26T00:00:00,1994-05-17T00:00:00
Sikkim,Sanchaman Limboo,Sikkim Sangram Parishad,18 May 1994 – 12 December 1994,1994-05-18T00:00:00,1994-12-12T00:00:00
Sikkim,Pawan Kumar Chamling,Sikkim Democratic Front,13 December 1994 – 10 October 1999,1994-12-13T00:00:00,1999-10-10T00:00:00
Sikkim,Pawan Kumar Chamling,Sikkim Democratic Front,11 October 1999 – 21 May 2004,1999-10-11T00:00:00,2004-05-21T00:00:00
Sikkim,Pawan Kumar Chamling,Sikkim Democratic Front,21 May 2004 – 20 May 2009,2004-05-21T00:00:00,2009-05-20T00:00:00
Sikkim,Pawan Kumar Chamling,Sikkim Democratic Front,20 May 2009 – 21 May 2014,2009-05-20T00:00:00,2014-05-21T00:00:00
Sikkim,Pawan Kumar Chamling,Sikkim Democratic Front,21 May 2014 – 27 May 2019,2014-05-21T00:00:00,2019-05-27T00:00:00
Sikkim,Prem Singh Tamang,Sikkim Krantikari Morcha,27 May 2019 – 10 June 2024,2019-05-27T00:00:00,2024-06-10T00:00:00
Sikkim,Prem Singh Tamang,Sikkim Krantikari Morcha,10 June 2024 – Incumbent,2024-06-10T00:00:00,NaT
Tamil Nadu,A. Subbarayalu Reddiar (1855–1921),South Indian Liberal Federation,17 December 1920,1920-12-17T00:00:00,NaT
Tamil Nadu,Panaganti Ramarayaningar (1866–1928),South Indian Liberal Federation,11 July 1921,1921-07-11T00:00:00,NaT
Tamil Nadu,Panaganti Ramarayaningar (1866–1928),South Indian Liberal Federation,12 September 1923,1923-09-12T00:00:00,NaT
Tamil Nadu,P. Subbarayan (1889–1962),Independent,4 December 1926,1926-12-04T00:00:00,NaT
Tamil Nadu,B. Munuswamy Naidu (1885–1935),South Indian Liberal Federation,27 October 1930,1930-10-27T00:00:00,NaT
Tamil Nadu,Ramakrishna Ranga Rao (1901–1978),South Indian Liberal Federation,5 November 1932,1932-11-05T00:00:00,NaT
Tamil Nadu,Ramakrishna Ranga Rao (1901–1978),South Indian Liberal Federation,5 November 1934,1934-11-05T00:00:00,NaT
Tamil Nadu,P. T. Rajan (1892–1974),South Indian Liberal Federation,4 April 1936,1936-04-04T00:00:00,NaT
Tamil Nadu,Ramakrishna Ranga Rao (1901–1978),South Indian Liberal Federation,24 August 1936[§],1936-08-24T00:00:00,NaT
Tamil Nadu,Kurma Venkata Reddy Naidu (1875–1942),Independent,1 April 1937,1937-04-01T00:00:00,NaT
Tamil Nadu,C. Rajagopalachari (1878–1972),Indian National Congress,14 July 1937,1937-07-14T00:00:00,NaT
Tamil Nadu,T. Prakasam (1872–1957),Indian National Congress,30 April 1946,1946-04-30T00:00:00,NaT
Tamil Nadu,O. P. Ramaswamy Reddiyar (1895–1970),Indian National Congress,23 March 1947,1947-03-23T00:00:00,NaT
Tamil Nadu,P. S. Kumaraswamy Raja (1898–1957),Indian National Congress,6 April 1949,1949-04-06T00:00:00,NaT
Uttar Pradesh,1,Independent,3 April 1937,1937-04-03T00:00:00,NaT
Uttar Pradesh,2,Indian National Congress,17 July 1937,1937-07-17T00:00:00,NaT
Uttar Pradesh,(2),Indian National Congress,1 April 1946,1946-04-01T00:00:00,NaT
Uttarakhand,Nityanand Swami,Bharatiya Janata Party,9 November 2000,2000-11-09T00:00:00,NaT
Uttarakhand,Bhagat Singh Koshyari,Bharatiya Janata Party,30 October 2001,2001-10-30T00:00:00,NaT
Uttarakhand,N. D. Tiwari,Indian National Congress,2 March 2002,2002-03-02T00:00:00,NaT
Uttarakhand,B. C. Khanduri,Bharatiya Janata Party,7 March 2007,2007-03-07T00:00:00,NaT
Uttarakhand,Ramesh Pokhriyal,Bharatiya Janata Party,27 June 2009,2009-06-27T00:00:00,NaT
Uttarakhand,B. C. Khanduri,Bharatiya Janata Party,11 September 2011,2011-09-11T00:00:00,NaT
Uttarakhand,Vijay Bahuguna,Indian National Congress,13 March 2012,2012-03-13T00:00:00,NaT
Uttarakhand,Harish Rawat,Indian National Congress,1 February 2014,2014-02-01T00:00:00,NaT
Uttarakhand,Harish Rawat,Indian National Congress,21 April 2016,2016-04-21T00:00:00,NaT
Uttarakhand,Harish Rawat,Indian National Congress,11 May 2016,2016-05-11T00:00:00,NaT
Uttarakhand,Trivendra Singh Rawat,Bharatiya Janata Party,18 March 2017,2017-03-18T00:00:00,NaT
Uttarakhand,Tirath Singh Rawat,Bharatiya Janata Party,10 March 2021,2021-03-10T00:00:00,NaT
Uttarakhand,Pushkar Singh Dhami,Bharatiya Janata Party,4 July 2021,2021-07-04T00:00:00,NaT
Uttarakhand,Pushkar Singh Dhami,Bharatiya Janata Party,23 March 2022,2022-03-23T00:00:00,NaT
West Bengal,Prafulla Chandra Ghosh,Indian National Congress,15 August 1947,1947-08-15T00:00:00,NaT
West Bengal,Bidhan Chandra Roy,Indian National Congress,23 January 1948,1948-01-23T00:00:00,NaT
